iteration,score,q_val,nowMem,pealMem
55,0,1.8117,4046.34,5199.51
56,0,1.7108,4047.18,5199.51
57,0,1.2595,4047.83,5199.51
58,0,1.3696,4048.5,5199.51
59,0,-271.7163,4049.25,5199.51
60,0,1.7589,4049.65,5199.51
61,0,1.3866,4049.97,5199.51
62,0,-80.3387,4050.46,5199.51
63,0,-22.708,4050.87,5199.51
64,0,-208.4755,4051.1,5199.51
65,0,-208.6046,4051.38,5199.51
66,0,1.3256,4051.78,5199.51
67,0,1.1125,4052.64,5199.51
68,0,1.3662,4052.85,5199.51
69,0,1.7685,4053.23,5199.51
70,0,1.3962,4053.36,5199.51
71,0,-208.6151,4053.76,5199.51
72,0,-208.6145,4054.01,5199.51
73,0,1.3975,4054.3,5199.51
74,0,1.3985,4054.31,5199.51
75,0,1.3963,4056.99,5219.68
76,0,-344.9789,4057.34,5219.68
77,0,-271.4163,4057.45,5219.68
78,0,1.9231,4057.69,5219.68
79,0,1.9061,4058.04,5219.68
80,0,1.9039,4058.29,5219.68
81,0,-208.6215,4058.57,5219.68
82,1,1.3971,4060.81,5219.68
83,0,1.3874,4061.15,5219.68
84,0,1.2788,4061.59,5219.68
85,0,1.3878,4061.84,5219.68
86,0,1.7962,4062.07,5219.68
87,0,1.3979,4062.24,5219.68
88,0,1.3815,4062.43,5219.68
89,1,1.8005,4063.01,5219.68
90,0,1.3898,4063.12,5219.68
91,0,-208.4565,4063.36,5219.68
92,0,1.3953,4063.59,5219.68
93,0,1.3981,4063.8,5219.68
94,0,-208.6051,4063.97,5219.68
95,0,1.327,4064.03,5219.68
96,0,1.8154,4064.19,5219.68
97,0,-61.1413,4064.33,5219.68
98,0,-227.3873,4064.54,5219.68
99,0,1.3952,4064.54,5219.68
100,0,-102.1009,4066.87,5233.95
101,0,1.3981,4067.11,5233.95
102,0,-227.2466,4067.34,5233.95
103,0,-271.6564,4067.47,5233.95
104,0,-375.7114,4067.72,5233.95
105,1,-16.9442,4068.34,5233.95
106,0,1.3994,4068.32,5233.95
107,0,-29.2313,4068.54,5233.95
108,1,-351.6726,4069.15,5233.95
109,0,1.3975,4069.01,5233.95
110,0,1.399,4069.08,5233.95
111,0,-227.4041,4069.27,5233.95
112,0,-111.3161,4069.29,5233.95
113,0,1.9384,4069.46,5233.95
114,0,-208.6486,4069.56,5233.95
115,0,1.7984,4069.55,5233.95
116,0,1.3941,4069.66,5233.95
117,0,-208.6006,4069.89,5233.95
118,0,-320.3224,4069.96,5233.95
119,0,-404.9612,4070.3,5233.95
120,0,1.3992,4070.29,5233.95
121,0,-360.8365,4070.6,5233.95
122,0,-66.8215,4070.69,5233.95
123,0,-80.0991,4070.7,5233.95
124,0,1.7987,4070.72,5233.95
125,0,-325.5541,4073.17,5243.39
126,1,1.808,4074.26,5243.39
127,0,-208.61,4074.36,5243.39
128,0,1.3999,4074.35,5243.39
129,1,-94.6983,4075.28,5243.39
130,0,1.3999,4075.28,5243.39
131,0,-282.1054,4075.22,5243.39
132,0,-337.1303,4075.36,5243.39
133,0,1.3988,4075.44,5243.39
134,1,-288.6266,4076.21,5243.39
135,0,1.397,4076.22,5243.39
136,0,-371.7759,4076.21,5243.39
137,0,-27.0096,4076.33,5243.39
138,0,1.3818,4076.43,5243.39
139,0,1.94,4076.56,5243.39
140,0,-85.1884,4076.61,5243.39
141,0,1.3998,4076.66,5243.39
142,1,1.391,4077.62,5243.39
143,0,-271.6026,4077.54,5243.39
144,0,-377.2746,4077.52,5243.39
145,0,-106.8525,4077.58,5243.39
146,0,-208.6002,4077.72,5243.39
147,0,-420.7632,4077.8,5243.39
148,0,-361.722,4077.98,5243.39
149,0,1.3982,4077.84,5243.39
150,0,-304.0844,4080.29,5255.44
151,0,1.3992,4080.4,5255.44
152,0,-341.076,4080.44,5255.44
153,2,-321.6916,4083.77,5255.44
154,0,1.3992,4083.58,5255.44
155,0,-433.7141,4083.78,5255.44
156,1,-282.0523,4083.98,5255.44
157,0,-128.7145,4083.99,5255.44
158,0,-293.4896,4083.92,5255.44
159,0,-208.4765,4084.31,5255.44
160,0,1.3991,4084.4,5255.44
161,0,-208.6003,4084.41,5255.44
162,0,-394.3507,4084.43,5255.44
163,0,-107.1177,4084.47,5255.44
164,1,-30.7357,4084.98,5255.44
